station_id,station_name,lat,lon,mae,rmse,r2
bkp128t,bkp128t,13.7201042,100.7807077,0.2066202610731125,0.3241249918937683,0.9329692125320435
bkp78t,bkp78t,13.72205,100.784069,0.2066202610731125,0.3241249918937683,0.9329692125320435
bkp71t,bkp71t,13.731051,100.651705,0.22394774854183197,0.33880898356437683,0.9267581701278687
bkp117t,bkp117t,13.6881393,100.6579657,0.22394774854183197,0.33880898356437683,0.9267581701278687
bkp100t,bkp100t,13.785212,100.669183,0.22719337046146393,0.33928802609443665,0.9265509247779846
bkp99t,bkp99t,13.768892,100.685743,0.22719337046146393,0.33928802609443665,0.9265509247779846
bkp125t,bkp125t,13.7855673,100.6733359,0.22719337046146393,0.33928802609443665,0.9265509247779846
bkp118t,bkp118t,13.7631141,100.7302101,0.22719337046146393,0.33928802609443665,0.9265509247779846
bkp129t,bkp129t,13.855656,100.8585539,0.17853133380413055,0.29067376255989075,0.9205950498580933
bkp80t,bkp80t,13.855362,100.86267,0.17853133380413055,0.29067376255989075,0.9205950498580933
05t,05t,13.666183,100.605742,0.24539616703987122,0.3558178246021271,0.9192198514938354
bkp81t,bkp81t,13.695561,100.647615,0.24539616703987122,0.3558178246021271,0.9192198514938354
bkp72t,bkp72t,13.667987,100.635313,0.24539616703987122,0.3558178246021271,0.9192198514938354
bkp57t,bkp57t,13.691511,100.61457,0.24539616703987122,0.3558178246021271,0.9192198514938354
61t,61t,13.769634,100.614567,0.24577902257442474,0.35946229100227356,0.9175565838813782
bkp76t,bkp76t,13.766478,100.647785,0.24577902257442474,0.35946229100227356,0.9175565838813782
o10,o10,13.779873,100.646009,0.24577902257442474,0.35946229100227356,0.9175565838813782
bkp64t,bkp64t,13.778981,100.622294,0.24577902257442474,0.35946229100227356,0.9175565838813782
03t,03t,13.636514,100.414262,0.2379983514547348,0.3589977025985718,0.9175541400909424
bkp90t,bkp90t,13.639165,100.372958,0.2379983514547348,0.3589977025985718,0.9175541400909424
bkp86t,bkp86t,13.780778,100.426727,0.23571008443832397,0.3592270016670227,0.9174488186836243
bkp89t,bkp89t,13.705582,100.343164,0.23253920674324036,0.35942092537879944,0.9173596501350403
bkp105t,bkp105t,13.659908,100.435902,0.2413715273141861,0.3599667251110077,0.9171084761619568
bkp87t,bkp87t,13.746257,100.355099,0.2413715273141861,0.3599667251110077,0.9171084761619568
bkp127t,bkp127t,13.7435329,100.3526893,0.2413715273141861,0.3599667251110077,0.9171084761619568
bkp104t,bkp104t,13.696314,100.409049,0.2413715273141861,0.3599667251110077,0.9171084761619568
bkp126t,bkp126t,13.6863478,100.3844036,0.2413715273141861,0.3599667251110077,0.9171084761619568
02t,02t,13.732846,100.487662,0.25306469202041626,0.3706356883049011,0.9121220707893372
12t,12t,13.70806667,100.5473333,0.25306469202041626,0.3706356883049011,0.9121220707893372
52t,52t,13.727622,100.486568,0.25306469202041626,0.3706356883049011,0.9121220707893372
50t,50t,13.729852,100.536501,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp91t,bkp91t,13.651004,100.496673,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp88t,bkp88t,13.718689,100.45391,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp82t,bkp82t,13.70515,100.48465,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp69t,bkp69t,13.679226,100.54687,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp58t,bkp58t,13.6821364,100.5060513,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp102t,bkp102t,13.677757,100.483861,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp84t,bkp84t,13.729431,100.474373,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp83t,bkp83t,13.719705,100.508782,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp67t,bkp67t,13.707763,100.526787,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp131t,bkp131t,13.697252,100.497185,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp121t,bkp121t,13.6502295,100.4909771,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp66t,bkp66t,13.726136,100.528055,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp65t,bkp65t,13.733136,100.52829,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp62t,bkp62t,13.737136,100.512734,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp114t,bkp114t,13.732225,100.5448381,0.25306469202041626,0.3706356883049011,0.9121220707893372
bkp101t,bkp101t,13.859911,100.704002,0.1994680017232895,0.3064994215965271,0.9117133617401123
bkp75t,bkp75t,13.896035,100.660628,0.1994680017232895,0.3064994215965271,0.9117133617401123
bkp124t,bkp124t,13.7716446,100.4681128,0.2543230652809143,0.37198126316070557,0.9114828109741211
59t,59t,13.783185,100.540489,0.2543230652809143,0.37198126316070557,0.9114828109741211
bkp103t,bkp103t,13.793965,100.504956,0.2543230652809143,0.37198126316070557,0.9114828109741211
bkp59t,bkp59t,13.7590851,100.5345788,0.2543230652809143,0.37198126316070557,0.9114828109741211
bkp133t,bkp133t,13.7693437,100.4945337,0.2543230652809143,0.37198126316070557,0.9114828109741211
bkp85t,bkp85t,13.759619,100.481137,0.2543230652809143,0.37198126316070557,0.9114828109741211
bkp92t,bkp92t,13.76415,100.499077,0.2543230652809143,0.37198126316070557,0.9114828109741211
bkp63t,bkp63t,13.783554,100.5344645,0.2543230652809143,0.37198126316070557,0.9114828109741211
bkp60t,bkp60t,13.776664,100.520982,0.2543230652809143,0.37198126316070557,0.9114828109741211
bkp61t,bkp61t,13.756281,100.514267,0.2543230652809143,0.37198126316070557,0.9114828109741211
bkp79t,bkp79t,13.813578,100.73208,0.20170962810516357,0.30811256170272827,0.9107815623283386
bkp77t,bkp77t,13.813844,100.686594,0.20170962810516357,0.30811256170272827,0.9107815623283386
bkp70t,bkp70t,13.722096,100.584559,0.2609004080295563,0.379765123128891,0.907739520072937
bkp94t,bkp94t,13.708488,100.583747,0.2609004080295563,0.379765123128891,0.907739520072937
bkp119t,bkp119t,13.7304916,100.5684634,0.2609004080295563,0.379765123128891,0.907739520072937
bkp122t,bkp122t,13.7328791,100.5600172,0.2609004080295563,0.379765123128891,0.907739520072937
bkp130t,bkp130t,13.8778763,100.6207085,0.21158407628536224,0.3195933997631073,0.9040088057518005
54t,54t,13.76251667,100.5502,0.2685542404651642,0.3902222216129303,0.9025886654853821
53t,53t,13.7954248,100.5930298,0.2685542404651642,0.3902222216129303,0.9025886654853821
bkp56t,bkp56t,13.7619223,100.558606,0.2685542404651642,0.3902222216129303,0.9025886654853821
bkp93t,bkp93t,13.77682,100.579543,0.2685542404651642,0.3902222216129303,0.9025886654853821
bkp96t,bkp96t,13.803587,100.607535,0.222077414393425,0.3322017192840576,0.8962854743003845
bkp123t,bkp123t,13.8055472,100.5488338,0.21664704382419586,0.3254862427711487,0.8854750394821167
bkp95t,bkp95t,13.809596,100.537883,0.21664704382419586,0.3254862427711487,0.8854750394821167
bkp98t,bkp98t,13.873603,100.595839,0.21742907166481018,0.32705312967300415,0.8843697309494019
bkp120t,bkp120t,13.9288678,100.5684666,0.21742907166481018,0.32705312967300415,0.8843697309494019
bkp74t,bkp74t,13.910986,100.594877,0.21742907166481018,0.32705312967300415,0.8843697309494019
bkp97t,bkp97t,13.887395,100.579247,0.21742907166481018,0.32705312967300415,0.8843697309494019
bkp116t,bkp116t,13.802546,100.5509191,0.22993531823158264,0.3403897285461426,0.874747097492218
bkp115t,bkp115t,13.8118516,100.5535825,0.22993531823158264,0.3403897285461426,0.874747097492218
bkp73t,bkp73t,13.839923,100.575632,0.22993531823158264,0.3403897285461426,0.874747097492218
